Longitude,Latitude,Trend,P-Value
57.5000,-77.5000,0.00000e+00,9.99000e+33
57.5000,-72.5000,1.03816e-05,8.27490e-01
57.5000,-67.5000,3.72668e-05,7.97855e-01
57.5000,-62.5000,-3.79252e-05,2.80644e-01
57.5000,-57.5000,-2.12795e-04,2.32673e-02
57.5000,-52.5000,-2.39539e-04,2.36302e-01
57.5000,-47.5000,-4.99050e-04,1.16026e-01
57.5000,-42.5000,-1.12427e-03,8.81878e-02
57.5000,-37.5000,-2.25066e-03,5.29637e-02
57.5000,-32.5000,-4.97556e-03,4.46243e-02
57.5000,-27.5000,-1.17843e-02,1.95523e-03
57.5000,-22.5000,-2.65850e-02,5.33254e-05
57.5000,-17.5000,-4.99528e-02,4.55006e-08
57.5000,-12.5000,-6.22324e-02,3.45930e-08
57.5000,-7.5000,-4.27558e-02,3.75583e-07
57.5000,-2.5000,-1.35143e-02,2.84258e-04
57.5000,2.5000,-4.31117e-03,1.33592e-01
57.5000,7.5000,-6.37678e-03,1.46586e-01
57.5000,12.5000,-2.67065e-03,3.33146e-01
57.5000,17.5000,2.21040e-03,3.15395e-01
57.5000,22.5000,2.09483e-03,1.30534e-01
57.5000,27.5000,5.76473e-04,1.79511e-01
57.5000,32.5000,1.65046e-05,7.02535e-01
57.5000,37.5000,0.00000e+00,9.99000e+33
57.5000,42.5000,0.00000e+00,9.99000e+33
57.5000,47.5000,0.00000e+00,9.99000e+33
57.5000,52.5000,0.00000e+00,9.99000e+33
57.5000,57.5000,0.00000e+00,9.99000e+33
57.5000,62.5000,0.00000e+00,9.99000e+33
57.5000,67.5000,0.00000e+00,9.99000e+33
57.5000,72.5000,0.00000e+00,9.99000e+33
57.5000,77.5000,0.00000e+00,9.99000e+33
57.5000,82.5000,0.00000e+00,9.99000e+33
57.5000,87.5000,0.00000e+00,9.99000e+33
62.5000,-87.5000,0.00000e+00,9.99000e+33
62.5000,-82.5000,0.00000e+00,9.99000e+33
62.5000,-77.5000,0.00000e+00,9.99000e+33
62.5000,-72.5000,-9.44916e-06,7.31070e-01
62.5000,-67.5000,-1.74336e-05,5.79254e-01
62.5000,-62.5000,-1.01405e-04,4.90988e-02
